Title,Price,Rating,Reviews,Availability
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",176.,3.9 out of 5 stars,"1,747",Available
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",299.,4.4 out of 5 stars,"39,130",Available
"HP Stream 14"" HD BrightView Laptop, Intel Pentium Silver N5030, 16GB RAM, 1.16TB Storage(1TB SSD + 160GB Docking Station Set), Intel UHD Graphics, Fast Charge, 1 Year Office 365, Win 11 S, Silver",339.,4.7 out of 5 stars,14,Available
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",249.,4.1 out of 5 stars,Products highlighted as 'Overall Pick' are:,Available
"Laptop, 15.6 Inch Laptop Computers, 8GB DDR4 256GB SSD Laptops, Expandable 1TB, Notebook with Celeron Quad Core Processor (up to 2.5 GHz), UHD Graphics 600, 5GWiFi, Type-C, USB3.0, Mini HDMI",219.,4.3 out of 5 stars,14,Available
"Laptop, 17.3 Inch Laptops Computer, 4GB DDR3 128GB SSD Notebook with Celeron i3-5005U CPU(up to 2.0 GHz), Expandable 1TB, 8000mAh, Webcam, Mini HDMI, USB3.2 * 2, Type-C(Slim)",239.,4.6 out of 5 stars,47,Available
"ACEMAGIC Laptop, Windows 11 Laptop Computer,16GB DDR4 512GB SSD, Quad-Core N95 Processor, 15.6"" IPS 1080P PC,180° Open Angle,Long Battery Life,Metal Shell,WiFi, BT5.0, USB3.2, Type_C",323.,4.4 out of 5 stars,24,Available
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",309.,4.4 out of 5 stars,"1,939",Available
"Fusion5 14.1"" T90 N4 Quad Core Windows 11 Home Laptop (N4120 Quad Core, 64Gb eMMC, 4GB RAM, Windows 11, DualBand WiFi, Webcam, 2X USB 3.0, Mini HDMI)",125.,3.9 out of 5 stars,142,Available
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 6, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Black",285.,4.2 out of 5 stars,617,Available
